customer_id,recency,frequency,monetary,Segment
CS1112,14/01/15,15,1012,Silver-P2
CS1113,09/02/15,20,1490,Silver-P2
CS1114,12/02/15,19,1432,Silver-P2
CS1115,05/03/15,22,1659,Silver-P2
CS1116,25/08/14,13,857,Gold-P1
CS1117,02/07/14,17,1185,Silver-P2
CS1118,14/03/15,15,1011,Silver-P2
CS1119,05/03/15,15,1158,Silver-P2
CS1120,06/03/15,24,1677,Silver-P2
CS1121,03/02/15,26,1524,Premium-P0
CS1122,02/02/15,16,1156,Silver-P2
CS1123,27/11/14,19,1331,Silver-P2
CS1124,02/01/15,18,1127,Silver-P2
CS1125,19/02/15,12,885,Gold-P1
CS1126,18/09/14,19,1165,Silver-P2
CS1127,05/02/15,24,1676,Silver-P2
CS1128,31/12/14,26,1921,Premium-P0
CS1129,30/11/14,12,853,Gold-P1
CS1130,13/03/15,19,1185,Silver-P2
CS1131,24/02/15,14,998,Gold-P1
CS1132,17/02/15,16,1074,Silver-P2
CS1133,21/02/15,19,1413,Silver-P2
CS1134,27/11/14,16,1166,Silver-P2
CS1135,15/04/14,20,1267,Silver-P2
CS1136,17/02/15,20,1339,Silver-P2
CS1137,20/01/15,20,1380,Silver-P2
CS1138,03/03/15,24,1863,Silver-P2
CS1139,25/11/14,18,1245,Silver-P2
CS1140,16/02/15,20,1434,Silver-P2
CS1141,22/01/15,25,1778,Premium-P0
CS1142,06/10/14,22,1847,Silver-P2
CS1143,16/08/14,16,1255,Silver-P2
CS1144,11/10/14,18,1222,Silver-P2
CS1145,25/10/14,27,1967,Premium-P0
CS1146,09/03/15,16,1117,Silver-P2
CS1147,12/03/15,15,1004,Silver-P2
CS1148,23/12/14,25,1733,Premium-P0
CS1149,01/03/15,25,1768,Premium-P0
CS1150,17/12/14,14,1075,Silver-P2
CS1151,18/02/15,16,1040,Silver-P2
CS1152,10/03/15,20,1457,Silver-P2
CS1153,10/02/15,18,1274,Silver-P2
CS1154,16/03/15,23,1436,Silver-P2
CS1155,10/11/14,19,1317,Silver-P2
CS1156,07/03/15,20,1445,Silver-P2
CS1157,25/02/15,21,1427,Silver-P2
CS1158,04/12/14,18,1159,Silver-P2
CS1159,08/02/15,22,1439,Silver-P2
CS1160,31/01/15,20,1380,Silver-P2
CS1161,12/03/15,22,1389,Silver-P2
CS1162,25/02/15,24,1815,Silver-P2
CS1163,06/02/15,18,1290,Silver-P2
CS1164,27/02/15,26,2037,Premium-P0
CS1165,12/12/14,20,1335,Silver-P2
CS1166,08/12/14,19,1507,Silver-P2
CS1167,17/11/14,16,1132,Silver-P2
CS1168,25/11/14,14,916,Gold-P1
CS1169,20/12/14,18,1175,Silver-P2
